"ID","Y"
1,0.54
2,0.45
3,0.36
4,0.466
5,0.362
6,0.53
7,0.476
8,0.472
9,0.294
10,0.354
11,0.47
12,0.56
13,0.344
14,0.636
15,0.506
16,0.214
17,0.552
18,0.352
19,0.256
20,0.454
21,0.518
22,0.306
23,0.548
24,0.614
25,0.51
26,0.522
27,0.35
28,0.602
29,0.248
30,0.422
31,0.328
32,0.4
33,0.454
34,0.382
35,0.484
36,0.312
37,0.382
38,0.436
39,0.388
40,0.278
41,0.37
42,0.264
43,0.318
44,0.316
45,0.528
46,0.37
47,0.346
48,0.34
49,0.494
50,0.288
51,0.232
52,0.598
53,0.506
54,0.368
55,0.304
56,0.308
57,0.436
58,0.378
59,0.204
60,0.436
61,0.162
62,0.492
63,0.394
64,0.404
65,0.35
66,0.334
67,0.25
68,0.25
69,0.3
70,0.276
71,0.414
72,0.32
73,0.256
74,0.484
75,0.252
76,0.536
77,0.638
78,0.49
79,0.402
80,0.338
81,0.362
82,0.658
83,0.556
84,0.234
85,0.482
86,0.352
87,0.396
88,0.328
89,0.414
90,0.362
91,0.394
92,0.838
93,0.22
94,0.298
95,0.254
96,0.248
97,0.352
98,0.434
99,0.662
100,0.182
101,0.414
102,0.484
103,0.258
104,0.458
105,0.492
106,0.388
107,0.372
108,0.568
109,0.262
110,0.59
111,0.5
112,0.798
113,0.196
114,0.266
115,0.3
116,0.366
117,0.526
118,0.346
119,0.31
120,0.422
121,0.242
122,0.366
123,0.298
124,0.524
125,0.446
126,0.322
127,0.292
128,0.252
129,0.448
130,0.592
131,0.354
132,0.382
133,0.312
134,0.578
135,0.198
136,0.468
137,0.256
138,0.41
139,0.338
140,0.428
141,0.406
142,0.72
143,0.26
144,0.466
145,0.3
146,0.35
147,0.412
148,0.54
149,0.482
150,0.34
151,0.392
152,0.536
153,0.392
154,0.366
155,0.392
156,0.438
157,0.2
158,0.378
159,0.246
160,0.524
161,0.306
162,0.532
163,0.474
164,0.47
165,0.218
166,0.408
167,0.424
168,0.486
169,0.396
170,0.17
171,0.204
172,0.348
173,0.298
174,0.31
175,0.304
176,0.416
177,0.46
178,0.25
179,0.216
180,0.364
181,0.294
182,0.182
183,0.506
184,0.452
185,0.48
186,0.37
187,0.364
188,0.516
189,0.62
190,0.37
191,0.5
192,0.732
193,0.462
194,0.226
195,0.412
196,0.366
197,0.374
198,0.276
199,0.388
200,0.334
201,0.376
202,0.378
203,0.158
204,0.31
205,0.422
206,0.512
207,0.398
208,0.3
209,0.494
210,0.442
211,0.4
212,0.25
213,0.344
214,0.578
215,0.514
216,0.218
217,0.598
218,0.274
219,0.592
220,0.252
221,0.42
222,0.352
223,0.406
224,0.208
225,0.254
226,0.438
227,0.43
228,0.636
229,0.338
230,0.258
231,0.38
232,0.21
233,0.322
234,0.388
235,0.378
236,0.458
237,0.42
238,0.326
239,0.336
240,0.244
241,0.33
242,0.252
243,0.382
244,0.372
245,0.284
246,0.386
247,0.522
248,0.294
249,0.284
250,0.342
251,0.482
252,0.294
253,0.208
254,0.462
255,0.3
256,0.478
257,0.25
258,0.426
259,0.238
260,0.332
261,0.37
262,0.498
263,0.326
264,0.304
265,0.32
266,0.406
267,0.428
268,0.186
269,0.224
270,0.44
271,0.642
272,0.308
273,0.402
274,0.42
275,0.486
276,0.338
277,0.406
278,0.27
279,0.28
280,0.278
281,0.464
282,0.482
283,0.38
284,0.212
285,0.356
286,0.248
287,0.144
288,0.296
289,0.39
290,0.474
291,0.422
292,0.606
293,0.262
294,0.444
295,0.234
296,0.416
297,0.358
298,0.26
299,0.282
300,0.424
301,0.374
302,0.44
303,0.468
304,0.42
305,0.48
306,0.28
307,0.374
308,0.302
309,0.266
310,0.542
311,0.36
312,0.466
313,0.456
314,0.512
315,0.528
316,0.404
317,0.458
318,0.162
319,0.364
320,0.372
321,0.42
322,0.578
323,0.438
324,0.424
325,0.568
326,0.618
327,0.534
328,0.388
329,0.572
330,0.406
331,0.584
332,0.322
333,0.516
334,0.48
335,0.476
336,0.512
337,0.242
338,0.288
339,0.586
340,0.246
341,0.332
342,0.452
343,0.758
344,0.352
345,0.314
346,0.356
347,0.284
348,0.274
349,0.452
350,0.34
351,0.596
352,0.4
353,0.302
354,0.414
355,0.49
356,0.368
357,0.304
358,0.374
359,0.41
360,0.446
361,0.248
362,0.44
363,0.312
364,0.316
365,0.458
366,0.516
367,0.498
368,0.198
369,0.468
370,0.492
371,0.254
372,0.43
373,0.33
374,0.266
375,0.574
376,0.498
377,0.376
378,0.452
379,0.464
380,0.274
381,0.306
382,0.334
383,0.672
384,0.48
385,0.508
386,0.554
387,0.372
388,0.364
389,0.36
390,0.22
391,0.46
392,0.312
393,0.414
394,0.214
395,0.284
396,0.326
397,0.236
398,0.302
399,0.448
400,0.456
401,0.306
402,0.458
403,0.33
404,0.324
405,0.33
406,0.4
407,0.664
408,0.442
409,0.47
410,0.126
411,0.49
412,0.318
413,0.374
414,0.38
415,0.29
416,0.574
417,0.302
418,0.32
419,0.402
420,0.412
421,0.252
422,0.424
423,0.372
424,0.766
425,0.222
426,0.606
427,0.196
428,0.306
429,0.54
430,0.228
431,0.152
432,0.502
433,0.314
434,0.418
435,0.582
436,0.524
437,0.336
438,0.558
439,0.436
440,0.45
441,0.466
442,0.564
443,0.536
444,0.362
445,0.452
446,0.668
447,0.488
448,0.258
449,0.448
450,0.258
451,0.36
452,0.522
453,0.396
454,0.434
455,0.632
456,0.308
457,0.222
458,0.538
459,0.39
460,0.438
461,0.334
462,0.32
463,0.414
464,0.264
465,0.362
466,0.272
467,0.28
468,0.418
469,0.424
470,0.55
471,0.234
472,0.254
473,0.282
474,0.47
475,0.352
476,0.348
477,0.524
478,0.588
479,0.294
480,0.314
481,0.532
482,0.314
483,0.18
484,0.244
485,0.364
486,0.258
487,0.27
488,0.352
489,0.282
490,0.292
491,0.32
492,0.428
493,0.382
494,0.362
495,0.27
496,0.318
497,0.366
498,0.522
499,0.334
500,0.424
501,0.27
502,0.408
503,0.486
504,0.564
505,0.216
506,0.224
507,0.36
508,0.3
509,0.258
510,0.33
511,0.346
512,0.272
513,0.428
514,0.324
515,0.346
516,0.464
517,0.438
518,0.52
519,0.486
520,0.356
521,0.258
522,0.32
523,0.532
524,0.37
525,0.292
526,0.456
527,0.274
528,0.418
529,0.474
530,0.456
531,0.27
532,0.364
533,0.322
534,0.404
535,0.414
536,0.396
537,0.538
538,0.528
539,0.358
540,0.436
541,0.498
542,0.242
543,0.28
544,0.268
545,0.378
546,0.276
547,0.56
548,0.296
549,0.352
550,0.358
551,0.226
552,0.468
553,0.31
554,0.336
555,0.156
556,0.436
557,0.372
558,0.62
559,0.272
560,0.374
561,0.44
562,0.204
563,0.382
564,0.262
565,0.354
566,0.318
567,0.378
568,0.374
569,0.54
570,0.48
571,0.212
572,0.388
573,0.466
574,0.382
575,0.38
576,0.378
577,0.334
578,0.51
579,0.45
580,0.27
581,0.332
582,0.45
583,0.602
584,0.244
585,0.438
586,0.318
587,0.378
588,0.43
589,0.552
590,0.516
591,0.398
592,0.27
593,0.26
594,0.43
595,0.48
596,0.354
597,0.406
598,0.28
599,0.512
600,0.334
601,0.308
602,0.518
