"ID","Y"
1,0.58
2,0.446
3,0.368
4,0.41
5,0.32
6,0.532
7,0.514
8,0.464
9,0.31
10,0.358
11,0.448
12,0.452
13,0.296
14,0.586
15,0.492
16,0.278
17,0.518
18,0.334
19,0.298
20,0.474
21,0.484
22,0.302
23,0.414
24,0.612
25,0.506
26,0.498
27,0.338
28,0.52
29,0.274
30,0.342
31,0.366
32,0.39
33,0.452
34,0.362
35,0.464
36,0.308
37,0.362
38,0.422
39,0.368
40,0.276
41,0.408
42,0.292
43,0.318
44,0.314
45,0.522
46,0.346
47,0.362
48,0.366
49,0.526
50,0.282
51,0.306
52,0.562
53,0.47
54,0.368
55,0.356
56,0.304
57,0.398
58,0.442
59,0.248
60,0.448
61,0.222
62,0.524
63,0.378
64,0.346
65,0.362
66,0.354
67,0.29
68,0.282
69,0.32
70,0.328
71,0.42
72,0.288
73,0.266
74,0.432
75,0.332
76,0.558
77,0.504
78,0.536
79,0.36
80,0.336
81,0.388
82,0.596
83,0.512
84,0.236
85,0.376
86,0.302
87,0.35
88,0.304
89,0.382
90,0.336
91,0.376
92,0.698
93,0.23
94,0.26
95,0.238
96,0.302
97,0.402
98,0.374
99,0.618
100,0.244
101,0.468
102,0.528
103,0.286
104,0.416
105,0.534
106,0.446
107,0.36
108,0.544
109,0.32
110,0.482
111,0.504
112,0.612
113,0.19
114,0.324
115,0.324
116,0.4
117,0.516
118,0.384
119,0.312
120,0.4
121,0.332
122,0.344
123,0.302
124,0.568
125,0.392
126,0.352
127,0.348
128,0.284
129,0.44
130,0.504
131,0.332
132,0.454
133,0.326
134,0.492
135,0.234
136,0.54
137,0.338
138,0.41
139,0.314
140,0.368
141,0.5
142,0.546
143,0.266
144,0.402
145,0.3
146,0.35
147,0.352
148,0.542
149,0.412
150,0.386
151,0.382
152,0.566
153,0.378
154,0.356
155,0.418
156,0.42
157,0.218
158,0.328
159,0.308
160,0.446
161,0.326
162,0.45
163,0.492
164,0.458
165,0.24
166,0.362
167,0.4
168,0.536
169,0.394
170,0.218
171,0.228
172,0.37
173,0.268
174,0.296
175,0.282
176,0.456
177,0.384
178,0.28
179,0.252
180,0.39
181,0.328
182,0.238
183,0.416
184,0.412
185,0.482
186,0.38
187,0.344
188,0.47
189,0.572
190,0.336
191,0.444
192,0.642
193,0.426
194,0.266
195,0.364
196,0.418
197,0.372
198,0.27
199,0.33
200,0.382
201,0.36
202,0.394
203,0.18
204,0.39
205,0.402
206,0.468
207,0.36
208,0.278
209,0.47
210,0.394
211,0.42
212,0.292
213,0.37
214,0.524
215,0.476
216,0.266
217,0.54
218,0.344
219,0.57
220,0.326
221,0.44
222,0.356
223,0.386
224,0.27
225,0.274
226,0.378
227,0.368
228,0.58
229,0.336
230,0.264
231,0.384
232,0.248
233,0.324
234,0.432
235,0.366
236,0.45
237,0.444
238,0.35
239,0.298
240,0.328
241,0.332
242,0.292
243,0.394
244,0.358
245,0.326
246,0.388
247,0.532
248,0.326
249,0.3
250,0.304
251,0.482
252,0.358
253,0.222
254,0.502
255,0.314
256,0.476
257,0.342
258,0.434
259,0.288
260,0.35
261,0.404
262,0.436
263,0.356
264,0.3
265,0.34
266,0.362
267,0.442
268,0.228
269,0.212
270,0.438
271,0.612
272,0.254
273,0.398
274,0.442
275,0.448
276,0.368
277,0.406
278,0.22
279,0.336
280,0.264
281,0.466
282,0.466
283,0.368
284,0.22
285,0.356
286,0.27
287,0.154
288,0.292
289,0.406
290,0.48
291,0.424
292,0.556
293,0.272
294,0.42
295,0.3
296,0.4
297,0.382
298,0.304
299,0.322
300,0.45
301,0.376
302,0.43
303,0.454
304,0.406
305,0.488
306,0.314
307,0.298
308,0.318
309,0.302
310,0.488
311,0.354
312,0.4
313,0.456
314,0.468
315,0.476
316,0.416
317,0.47
318,0.168
319,0.398
320,0.342
321,0.39
322,0.528
323,0.47
324,0.354
325,0.504
326,0.57
327,0.56
328,0.398
329,0.552
330,0.448
331,0.54
332,0.326
333,0.454
334,0.426
335,0.44
336,0.556
337,0.256
338,0.298
339,0.562
340,0.252
341,0.302
342,0.432
343,0.69
344,0.36
345,0.306
346,0.39
347,0.23
348,0.282
349,0.44
350,0.32
351,0.458
352,0.42
353,0.33
354,0.418
355,0.44
356,0.326
357,0.26
358,0.386
359,0.384
360,0.394
361,0.282
362,0.41
363,0.328
364,0.282
365,0.424
366,0.502
367,0.506
368,0.218
369,0.456
370,0.44
371,0.32
372,0.518
373,0.37
374,0.346
375,0.568
376,0.524
377,0.34
378,0.426
379,0.462
380,0.28
381,0.37
382,0.306
383,0.648
384,0.472
385,0.49
386,0.49
387,0.29
388,0.368
389,0.37
390,0.292
391,0.456
392,0.274
393,0.432
394,0.28
395,0.292
396,0.374
397,0.23
398,0.308
399,0.416
400,0.5
401,0.358
402,0.458
403,0.332
404,0.316
405,0.358
406,0.356
407,0.622
408,0.464
409,0.514
410,0.204
411,0.428
412,0.404
413,0.406
414,0.37
415,0.31
416,0.554
417,0.316
418,0.352
419,0.404
420,0.416
421,0.304
422,0.43
423,0.412
424,0.654
425,0.226
426,0.522
427,0.21
428,0.262
429,0.514
430,0.218
431,0.214
432,0.508
433,0.35
434,0.354
435,0.594
436,0.516
437,0.322
438,0.504
439,0.426
440,0.384
441,0.454
442,0.5
443,0.494
444,0.394
445,0.466
446,0.646
447,0.422
448,0.284
449,0.466
450,0.314
451,0.34
452,0.49
453,0.4
454,0.418
455,0.56
456,0.352
457,0.262
458,0.538
459,0.418
460,0.484
461,0.356
462,0.306
463,0.452
464,0.336
465,0.41
466,0.286
467,0.318
468,0.404
469,0.456
470,0.516
471,0.248
472,0.214
473,0.302
474,0.472
475,0.344
476,0.354
477,0.534
478,0.526
479,0.296
480,0.342
481,0.5
482,0.344
483,0.236
484,0.276
485,0.376
486,0.258
487,0.308
488,0.376
489,0.302
490,0.3
491,0.276
492,0.48
493,0.378
494,0.4
495,0.29
496,0.322
497,0.34
498,0.502
499,0.294
500,0.386
501,0.286
502,0.432
503,0.476
504,0.5
505,0.284
506,0.25
507,0.336
508,0.292
509,0.25
510,0.336
511,0.41
512,0.302
513,0.418
514,0.308
515,0.33
516,0.442
517,0.426
518,0.492
519,0.46
520,0.372
521,0.276
522,0.424
523,0.506
524,0.396
525,0.326
526,0.444
527,0.23
528,0.432
529,0.448
530,0.386
531,0.326
532,0.372
533,0.384
534,0.456
535,0.432
536,0.394
537,0.522
538,0.542
539,0.344
540,0.406
541,0.524
542,0.286
543,0.278
544,0.286
545,0.394
546,0.238
547,0.534
548,0.284
549,0.33
550,0.42
551,0.21
552,0.408
553,0.296
554,0.308
555,0.186
556,0.448
557,0.356
558,0.562
559,0.3
560,0.338
561,0.418
562,0.184
563,0.346
564,0.284
565,0.364
566,0.336
567,0.37
568,0.42
569,0.512
570,0.468
571,0.208
572,0.436
573,0.43
574,0.382
575,0.386
576,0.364
577,0.386
578,0.494
579,0.406
580,0.278
581,0.322
582,0.362
583,0.612
584,0.222
585,0.468
586,0.344
587,0.332
588,0.43
589,0.492
590,0.458
591,0.384
592,0.306
593,0.274
594,0.432
595,0.464
596,0.324
597,0.428
598,0.36
599,0.53
600,0.316
601,0.304
602,0.498
603,0.376
604,0.462
605,0.374
606,0.376
607,0.614
608,0.352
609,0.398
610,0.33
611,0.558
612,0.376
613,0.422
614,0.32
615,0.296
616,0.466
617,0.29
618,0.286
619,0.39
620,0.48
621,0.362
622,0.238
623,0.468
624,0.242
625,0.274
626,0.318
627,0.386
628,0.342
629,0.322
630,0.496
631,0.626
632,0.502
633,0.24
634,0.366
635,0.488
636,0.346
637,0.278
638,0.392
639,0.44
640,0.28
641,0.394
642,0.254
643,0.41
644,0.394
645,0.334
646,0.582
647,0.506
648,0.456
649,0.286
650,0.352
651,0.39
652,0.432
653,0.45
654,0.284
655,0.284
656,0.444
657,0.558
658,0.498
659,0.362
660,0.334
661,0.276
662,0.408
663,0.402
664,0.442
665,0.398
666,0.396
667,0.252
668,0.346
669,0.268
670,0.326
671,0.366
672,0.38
673,0.41
674,0.248
675,0.344
676,0.286
677,0.56
678,0.542
679,0.504
680,0.48
681,0.3
682,0.508
683,0.446
684,0.438
685,0.404
686,0.454
687,0.352
688,0.332
689,0.4
690,0.342
691,0.34
692,0.564
693,0.36
694,0.304
695,0.35
696,0.318
697,0.456
698,0.45
699,0.442
700,0.272
701,0.418
702,0.4
703,0.444
704,0.404
705,0.326
706,0.412
707,0.312
708,0.452
709,0.22
710,0.4
711,0.26
712,0.398
713,0.27
714,0.512
715,0.342
716,0.46
717,0.456
718,0.374
719,0.32
720,0.322
721,0.398
722,0.524
723,0.382
724,0.532
725,0.264
726,0.518
727,0.428
728,0.364
729,0.432
730,0.368
731,0.244
732,0.34
733,0.322
734,0.332
735,0.452
736,0.344
737,0.466
738,0.338
739,0.244
740,0.404
741,0.28
742,0.356
743,0.578
744,0.368
745,0.292
746,0.41
747,0.6
748,0.316
749,0.192
750,0.274
751,0.304
752,0.368
753,0.496
754,0.48
755,0.36
756,0.374
757,0.422
758,0.326
759,0.412
760,0.428
761,0.284
762,0.252
763,0.574
764,0.432
765,0.426
766,0.62
767,0.384
768,0.266
769,0.5
770,0.212
771,0.398
772,0.284
773,0.384
774,0.382
775,0.264
776,0.394
777,0.364
778,0.402
779,0.198
780,0.402
781,0.326
782,0.36
783,0.42
784,0.276
785,0.362
786,0.38
787,0.392
788,0.252
789,0.496
790,0.368
791,0.624
792,0.488
793,0.432
794,0.292
795,0.462
796,0.346
797,0.384
798,0.564
799,0.534
800,0.284
801,0.444
802,0.47
803,0.432
804,0.61
805,0.296
806,0.524
807,0.45
808,0.378
809,0.48
810,0.396
811,0.432
812,0.344
813,0.434
814,0.314
815,0.264
816,0.372
817,0.364
818,0.408
819,0.464
820,0.372
821,0.284
822,0.456
823,0.394
824,0.418
825,0.49
826,0.286
827,0.348
828,0.272
829,0.404
830,0.358
831,0.568
832,0.36
833,0.374
834,0.474
835,0.344
836,0.328
837,0.388
838,0.372
839,0.546
840,0.464
841,0.25
842,0.292
843,0.32
844,0.24
845,0.508
846,0.66
847,0.282
848,0.258
849,0.436
850,0.464
851,0.31
852,0.27
853,0.346
854,0.266
855,0.394
856,0.33
857,0.256
858,0.542
859,0.36
860,0.346
861,0.442
862,0.254
863,0.358
864,0.352
865,0.414
866,0.378
867,0.45
868,0.32
869,0.352
870,0.34
871,0.302
872,0.3
873,0.372
874,0.414
875,0.468
876,0.406
877,0.464
878,0.312
879,0.406
880,0.514
881,0.312
882,0.47
883,0.272
884,0.336
885,0.394
886,0.326
887,0.354
888,0.48
889,0.252
890,0.31
891,0.458
892,0.438
893,0.45
894,0.382
895,0.482
896,0.37
897,0.438
898,0.324
899,0.428
900,0.376
901,0.386
902,0.344
903,0.576
904,0.368
905,0.48
906,0.39
907,0.302
908,0.336
909,0.366
910,0.384
911,0.446
912,0.35
913,0.258
914,0.362
915,0.284
916,0.204
917,0.372
918,0.282
919,0.546
920,0.486
921,0.31
922,0.258
923,0.346
924,0.332
925,0.416
926,0.598
927,0.36
928,0.3
929,0.358
930,0.378
931,0.568
932,0.37
933,0.384
934,0.474
935,0.368
936,0.414
937,0.528
938,0.36
939,0.228
940,0.268
941,0.452
942,0.358
943,0.318
944,0.196
945,0.308
946,0.402
947,0.348
948,0.318
949,0.464
950,0.454
951,0.48
952,0.35
953,0.318
954,0.522
955,0.368
956,0.296
957,0.414
958,0.354
959,0.37
960,0.188
961,0.486
962,0.486
963,0.39
964,0.372
965,0.394
966,0.312
967,0.502
968,0.228
969,0.242
970,0.298
971,0.256
972,0.442
973,0.368
974,0.362
975,0.34
976,0.35
977,0.344
978,0.37
979,0.356
980,0.42
981,0.324
982,0.344
983,0.476
984,0.35
985,0.378
986,0.392
987,0.426
988,0.252
989,0.334
990,0.358
991,0.364
992,0.394
993,0.45
994,0.458
995,0.326
996,0.416
997,0.498
998,0.308
999,0.324
1000,0.286
1001,0.312
1002,0.576
1003,0.262
1004,0.394
1005,0.422
1006,0.484
1007,0.432
1008,0.358
1009,0.404
1010,0.39
1011,0.454
1012,0.462
1013,0.268
1014,0.49
1015,0.316
1016,0.336
1017,0.37
1018,0.32
1019,0.35
1020,0.592
1021,0.586
1022,0.414
1023,0.314
1024,0.358
1025,0.306
1026,0.328
1027,0.456
1028,0.366
1029,0.376
1030,0.49
1031,0.486
1032,0.4
1033,0.356
1034,0.44
1035,0.326
1036,0.418
1037,0.292
1038,0.466
1039,0.5
1040,0.388
1041,0.426
1042,0.464
1043,0.39
1044,0.424
1045,0.322
1046,0.388
1047,0.318
1048,0.488
1049,0.388
1050,0.334
1051,0.346
1052,0.22
1053,0.256
1054,0.652
1055,0.432
1056,0.544
1057,0.308
1058,0.586
1059,0.342
1060,0.5
1061,0.356
1062,0.3
1063,0.416
1064,0.432
1065,0.296
1066,0.268
1067,0.494
1068,0.52
1069,0.39
1070,0.388
1071,0.446
1072,0.544
1073,0.624
1074,0.46
1075,0.286
1076,0.326
1077,0.31
1078,0.302
1079,0.442
1080,0.422
1081,0.344
1082,0.288
1083,0.506
1084,0.424
1085,0.45
1086,0.298
1087,0.468
1088,0.252
1089,0.476
1090,0.474
1091,0.424
1092,0.52
1093,0.358
1094,0.554
1095,0.37
1096,0.35
1097,0.56
1098,0.344
1099,0.602
1100,0.458
1101,0.37
1102,0.408
1103,0.45
1104,0.45
1105,0.47
1106,0.47
1107,0.468
1108,0.28
1109,0.29
1110,0.41
1111,0.452
1112,0.47
1113,0.422
1114,0.372
1115,0.346
1116,0.426
1117,0.386
1118,0.452
1119,0.436
1120,0.524
1121,0.416
1122,0.33
1123,0.504
1124,0.326
1125,0.216
1126,0.254
1127,0.346
1128,0.566
1129,0.22
1130,0.358
1131,0.402
1132,0.474
1133,0.206
1134,0.368
1135,0.456
1136,0.506
1137,0.268
1138,0.362
1139,0.314
1140,0.278
1141,0.26
1142,0.306
1143,0.47
1144,0.492
1145,0.272
1146,0.42
1147,0.308
1148,0.372
1149,0.26
1150,0.494
1151,0.376
1152,0.322
1153,0.354
1154,0.396
1155,0.594
1156,0.228
1157,0.386
1158,0.418
1159,0.512
1160,0.26
1161,0.352
1162,0.31
1163,0.382
1164,0.248
1165,0.438
1166,0.376
1167,0.22
1168,0.358
1169,0.27
1170,0.322
1171,0.276
1172,0.404
1173,0.33
1174,0.374
1175,0.332
1176,0.48
1177,0.652
1178,0.368
1179,0.584
1180,0.586
1181,0.262
1182,0.5
1183,0.538
1184,0.448
1185,0.258
1186,0.432
1187,0.446
1188,0.232
1189,0.284
1190,0.412
1191,0.598
1192,0.64
1193,0.52
1194,0.336
1195,0.524
1196,0.324
1197,0.482
1198,0.568
1199,0.554
1200,0.334
1201,0.478
1202,0.29
1203,0.316
1204,0.304
1205,0.506
1206,0.244
1207,0.406
1208,0.316
1209,0.654
1210,0.386
1211,0.448
1212,0.296
1213,0.286
1214,0.404
1215,0.398
1216,0.434
1217,0.33
1218,0.368
1219,0.332
1220,0.66
1221,0.382
1222,0.376
1223,0.386
1224,0.52
1225,0.436
1226,0.506
1227,0.4
1228,0.518
1229,0.458
1230,0.458
1231,0.416
1232,0.444
1233,0.33
1234,0.276
1235,0.422
1236,0.484
1237,0.494
1238,0.536
1239,0.516
1240,0.7
1241,0.486
1242,0.41
1243,0.272
1244,0.374
1245,0.456
1246,0.346
1247,0.254
1248,0.318
1249,0.444
1250,0.562
1251,0.51
1252,0.342
1253,0.246
1254,0.526
1255,0.384
1256,0.28
1257,0.312
1258,0.44
1259,0.366
1260,0.51
1261,0.26
1262,0.394
1263,0.284
1264,0.348
1265,0.32
1266,0.242
1267,0.422
1268,0.27
1269,0.234
1270,0.468
1271,0.272
1272,0.372
1273,0.248
1274,0.49
1275,0.176
1276,0.374
1277,0.388
1278,0.578
1279,0.394
1280,0.398
1281,0.286
1282,0.364
1283,0.428
1284,0.282
1285,0.37
1286,0.306
1287,0.368
1288,0.352
1289,0.384
1290,0.436
1291,0.302
1292,0.614
1293,0.512
1294,0.524
1295,0.312
1296,0.232
1297,0.284
1298,0.43
1299,0.286
1300,0.302
1301,0.448
1302,0.598
1303,0.46
1304,0.466
1305,0.278
1306,0.36
1307,0.304
1308,0.434
1309,0.262
1310,0.28
1311,0.33
1312,0.382
1313,0.278
1314,0.352
1315,0.298
1316,0.434
1317,0.506
1318,0.462
1319,0.528
1320,0.364
1321,0.3
1322,0.298
1323,0.358
1324,0.608
1325,0.486
1326,0.464
1327,0.294
1328,0.442
1329,0.382
1330,0.282
1331,0.302
1332,0.32
1333,0.496
1334,0.284
1335,0.436
1336,0.41
1337,0.3
1338,0.234
1339,0.574
1340,0.464
1341,0.414
1342,0.354
1343,0.346
1344,0.5
1345,0.578
1346,0.352
1347,0.342
1348,0.494
1349,0.344
1350,0.226
1351,0.288
1352,0.304
1353,0.338
1354,0.29
1355,0.416
1356,0.32
1357,0.39
1358,0.346
1359,0.436
1360,0.29
1361,0.312
1362,0.498
1363,0.326
1364,0.386
1365,0.354
1366,0.356
1367,0.294
1368,0.392
1369,0.33
1370,0.362
1371,0.34
1372,0.442
1373,0.556
1374,0.432
1375,0.636
1376,0.728
1377,0.36
1378,0.424
1379,0.352
1380,0.306
1381,0.61
1382,0.326
1383,0.3
1384,0.256
1385,0.408
1386,0.474
1387,0.344
1388,0.308
1389,0.392
1390,0.242
1391,0.26
1392,0.306
1393,0.53
1394,0.488
1395,0.212
1396,0.254
1397,0.444
1398,0.342
1399,0.412
1400,0.302
1401,0.558
1402,0.298
1403,0.358
1404,0.29
1405,0.294
1406,0.398
1407,0.266
1408,0.416
1409,0.298
1410,0.302
1411,0.294
1412,0.34
1413,0.32
1414,0.376
1415,0.23
1416,0.444
1417,0.384
1418,0.336
1419,0.512
1420,0.48
1421,0.456
1422,0.406
1423,0.37
1424,0.3
1425,0.506
1426,0.3
1427,0.408
1428,0.628
1429,0.302
1430,0.446
1431,0.334
1432,0.462
1433,0.444
1434,0.446
1435,0.41
1436,0.36
1437,0.408
1438,0.344
1439,0.322
1440,0.384
1441,0.244
1442,0.198
1443,0.338
1444,0.368
1445,0.574
1446,0.446
1447,0.44
1448,0.402
1449,0.304
1450,0.306
1451,0.33
1452,0.448
1453,0.29
1454,0.274
1455,0.372
1456,0.362
1457,0.478
1458,0.434
1459,0.43
1460,0.342
1461,0.504
1462,0.494
1463,0.412
1464,0.386
1465,0.63
1466,0.418
1467,0.312
1468,0.38
1469,0.528
1470,0.474
1471,0.342
1472,0.404
1473,0.342
1474,0.496
1475,0.27
1476,0.462
1477,0.388
1478,0.508
1479,0.486
1480,0.244
1481,0.368
1482,0.434
1483,0.268
1484,0.238
1485,0.3
1486,0.502
1487,0.514
1488,0.388
1489,0.482
1490,0.522
1491,0.286
1492,0.288
1493,0.258
1494,0.326
1495,0.408
1496,0.428
1497,0.296
1498,0.496
1499,0.494
1500,0.424
1501,0.368
1502,0.41
1503,0.376
1504,0.23
1505,0.438
1506,0.57
1507,0.46
1508,0.336
1509,0.32
1510,0.318
1511,0.414
1512,0.424
1513,0.384
1514,0.51
1515,0.256
1516,0.424
1517,0.524
1518,0.552
1519,0.262
1520,0.424
1521,0.21
1522,0.388
1523,0.346
1524,0.408
1525,0.37
1526,0.316
1527,0.26
1528,0.35
1529,0.4
1530,0.294
1531,0.346
1532,0.406
1533,0.57
1534,0.51
1535,0.354
1536,0.498
1537,0.316
1538,0.442
1539,0.458
1540,0.278
1541,0.354
1542,0.414
1543,0.28
1544,0.312
1545,0.376
1546,0.428
1547,0.322
1548,0.392
1549,0.514
1550,0.306
1551,0.42
1552,0.396
1553,0.322
1554,0.432
1555,0.524
1556,0.35
1557,0.362
1558,0.374
1559,0.472
1560,0.326
1561,0.534
1562,0.376
1563,0.498
1564,0.314
1565,0.208
1566,0.38
1567,0.36
1568,0.384
1569,0.44
1570,0.272
1571,0.42
1572,0.526
1573,0.382
1574,0.524
1575,0.432
