"ID","Y"
1,0.576
2,0.468
3,0.356
4,0.418
5,0.38
6,0.536
7,0.516
8,0.468
9,0.278
10,0.382
11,0.468
12,0.494
13,0.296
14,0.592
15,0.466
16,0.222
17,0.586
18,0.352
19,0.27
20,0.412
21,0.52
22,0.318
23,0.49
24,0.648
25,0.492
26,0.476
27,0.366
28,0.582
29,0.246
30,0.406
31,0.36
32,0.354
33,0.422
34,0.352
35,0.478
36,0.264
37,0.374
38,0.442
39,0.358
40,0.232
41,0.402
42,0.28
43,0.324
44,0.254
45,0.52
46,0.358
47,0.366
48,0.37
49,0.538
50,0.306
51,0.304
52,0.562
53,0.498
54,0.408
55,0.344
56,0.306
57,0.398
58,0.424
59,0.228
60,0.47
61,0.174
62,0.516
63,0.416
64,0.396
65,0.38
66,0.336
67,0.296
68,0.24
69,0.372
70,0.286
71,0.428
72,0.296
73,0.252
74,0.458
75,0.29
76,0.54
77,0.544
78,0.486
79,0.374
80,0.334
81,0.386
82,0.66
83,0.474
84,0.274
85,0.442
86,0.29
87,0.328
88,0.35
89,0.416
90,0.348
91,0.36
92,0.79
93,0.22
94,0.268
95,0.238
96,0.272
97,0.416
98,0.396
99,0.65
100,0.21
101,0.5
102,0.516
103,0.262
104,0.416
105,0.494
106,0.428
107,0.338
108,0.536
109,0.316
110,0.502
111,0.458
112,0.658
113,0.196
114,0.318
115,0.298
116,0.41
117,0.546
118,0.35
119,0.296
120,0.376
121,0.286
122,0.33
123,0.388
124,0.534
125,0.44
126,0.328
127,0.308
128,0.288
129,0.46
130,0.544
131,0.338
132,0.422
133,0.33
134,0.51
135,0.222
136,0.448
137,0.274
138,0.356
139,0.304
140,0.368
141,0.47
142,0.6
143,0.296
144,0.408
145,0.31
146,0.306
147,0.43
148,0.552
149,0.428
150,0.404
151,0.404
152,0.516
153,0.452
154,0.318
155,0.396
156,0.446
157,0.216
158,0.336
159,0.274
160,0.514
161,0.368
162,0.474
163,0.48
164,0.482
165,0.178
166,0.392
167,0.382
168,0.516
169,0.428
170,0.162
171,0.218
172,0.368
173,0.278
174,0.322
175,0.312
176,0.434
177,0.386
178,0.246
179,0.232
180,0.362
181,0.28
182,0.236
183,0.496
184,0.45
185,0.404
186,0.394
187,0.338
188,0.49
189,0.57
190,0.368
191,0.458
192,0.684
193,0.45
194,0.254
195,0.378
196,0.36
197,0.382
198,0.252
199,0.338
200,0.366
201,0.34
202,0.382
203,0.164
204,0.39
205,0.444
206,0.452
207,0.382
208,0.238
209,0.464
210,0.442
211,0.35
212,0.276
213,0.352
214,0.588
215,0.534
216,0.228
217,0.512
218,0.344
219,0.538
220,0.294
221,0.438
222,0.36
223,0.358
224,0.244
225,0.304
226,0.398
227,0.368
228,0.6
229,0.316
230,0.254
231,0.338
232,0.236
233,0.302
234,0.386
235,0.406
236,0.434
